You notice that Adwords revenue for a certain word has dropped in Italy for the last 30 days. How would you diagnose what happened?,Google,2012,,,,,,,,,,,,,,,,
 How will you position the current legacy product considering that the next generation product is beginning to be offered?,KLA,2009,,,,,,,,,,,,,,,,
 Can you tell me how you would manage a new product launch?,Juniper Networks,2011,,,,,,,,,,,,,,,,
 What is the marginal cost of a gigabyte in Gmail?,Google,2009,,,,,,,,,,,,,,,,
 Why is a good user interface good for the company?,Google,2009,,,,,,,,,,,,,,,,
 How would you design Google Maps for children?,Google,2009,,,,,,,,,,,,,,,,
 How many hotels are there in the United States?,Google,2012,,,,,,,,,,,,,,,,
 Design an elevator for a building in San Francisco.,Google,2010,,,,,,,,,,,,,,,,
 How would you make Web browsing faster in developing countries?,Google,2010,,,,,,,,,,,,,,,,
 How would you implement a solar panels project to put solar panels our New York buildings?,Google,2013,,,,,,,,,,,,,,,,
If you were going to plan two new distribution center locations for Amazon where would you locate them and why?, Amazon,2009,,,,,,,,,,,,,,,,
How do you think Amazon may have come up with the $80 fee for the Amazon Prime membership program?, Amazon,2012,,,,,,,,,,,,,,,,
 What do you think Facebook should do next?,Facebook,2011,,,,,,,,,,,,,,,,
 Estimate the annual gasoline expenses for Pizza Hut in San Francisco.,Google,2010,,,,,,,,,,,,,,,,
 Why are you the best candidate.,Progressive Insurance,2010,,,,,,,,,,,,,,,,
What emerging technologies are you tracking?,Google,2013,,,,,,,,,,,,,,,,
 What Google product do you like the best and how would you improve it?,Google,2009,,,,,,,,,,,,,,,,
 Tell me how you would reorganize the Yahoo homepage., Ask Media Group,2011,,,,,,,,,,,,,,,,
 Why do you want to work here?,Kenexa,2009,,,,,,,,,,,,,,,,
 How would you make Google Calendar better?,Google,2015,,,,,,,,,,,,,,,,
 Let's say we are sitting in a Starbucks in San Francisco and we notice there is another one across the street. How would we figure out how many Starbucks there are in the country?,Rocket Lawyer,2014,,,,,,,,,,,,,,,,
 Why does Starbucks expand the way they do having multiple stores next to each other?,Google,2013,,,,,,,,,,,,,,,,
How would you prioritize resources when you have two important projects but can't do them both?,Facebook,2018,,,,,,,,,,,,,,,,
 What product in the market place do you think is well marketed and positioned?,Google,2010,,,,,,,,,,,,,,,,
 How do you measure success of the Cloud Drive product of Amazon?, Amazon,2011,,,,,,,,,,,,,,,,
 How would you design a bike GPS unit?,Google,2011,,,,,,,,,,,,,,,,
 How would you build a Search product for restaurants?,Google,2012,,,,,,,,,,,,,,,,
 What would you do if you were the CEO of Apple?,Google,2012,,,,,,,,,,,,,,,,
 What is the average monthly revenue of an indie movie theater in San Francisco?,Pocket Gems,2012,,,,,,,,,,,,,,,,
 Spotify needs to have listeners listen to new music. Devise a product plan.,Asana,2015,,,,,,,,,,,,,,,,
How would you market this pen?,Cbeyond,2013,,,,,,,,,,,,,,,,
 What is your favorite website? How would you improve it.,Ask Media Group,2010,,,,,,,,,,,,,,,,
 How have you stayed ahead of the market in regards to monitoring the competition and market trends?,FUJIFILM Medical Systems,2015,,,,,,,,,,,,,,,,
 How much revenue does Youtube make in a day?,Google,2013,,,,,,,,,,,,,,,,
 What metrics do you have to consider to rank the sellers of a product in an online shopping website?,Google,2010,,,,,,,,,,,,,,,,
You're given the lead position on a new store that needs to launch in 90 days. What do you do?, Amazon,2015,,,,,,,,,,,,,,,,
 What are you passionate about outside work? How could you completely disrupt that industry?,Lucid Design,2015,,,,,,,,,,,,,,,,
How many Piano Tuners operate a business in New York City?,Google,2015,,,,,,,,,,,,,,,,
 If you had a magic wand to change the main page of Yahoo! what would you change? Why?, Yahoo,2011,,,,,,,,,,,,,,,,
 Design a better toothpaste tube.,Google,2010,,,,,,,,,,,,,,,,
 How would you improve Google Search?,Google,2011,,,,,,,,,,,,,,,,
 What will you bring to the company?,Victoria's Secret,2010,,,,,,,,,,,,,,,,
Estimate how much disk space Google needed when launching Gmail in 2004?,Google,2011,,,,,,,,,,,,,,,,
 What are your weaknesses?,Riot Games,2017,,,,,,,,,,,,,,,,
 How many gallons of paint would it take to paint every building in Chicago?,Enova,2014,,,,,,,,,,,,,,,,
How many french fries does McDonalds produce in a day., Microsoft,2013,,,,,,,,,,,,,,,,
 What are the two most important attributes of a successful Product Manager?,Euro-Pro,2011,,,,,,,,,,,,,,,,
 Design the user experience for social in Expedia's travel offerings.,Expedia Group,2013,,,,,,,,,,,,,,,,
Sales are declining at JD Toys Inc. Why?,Composite Software,2009,,,,,,,,,,,,,,,,
 Tell me about a time when you made a bad decision. What did you do?,Progressive Insurance,2014,,,,,,,,,,,,,,,,
 What's the biggest challenge you faced in a previous job and how did you deal with it?,OpenTable,2013,,,,,,,,,,,,,,,,
 Tell me about a time a project went wrong and what you could have done in hindsight to fix it., Technical Akamai,2012,,,,,,,,,,,,,,,,
