Tell me a time when you had to influence clients to follow a different course of action.,Capital One,2014,,,,,,,,,,,,,,,,,,
You are a head chef at a restaurant and your team has been selected to be on Iron Chef. How do you prepare your team for the competition and how do you leverage the competition for your restaurant?,Accenture,2012,,,,,,,,,,,,,,,,,,
What's 29x29,Jane Street,2010,,,,,,,,,,,,,,,,,,
Should we roll out a new jewelry line? What information would you want to know?,J. C. Penney,2013,,,,,,,,,,,,,,,,,,
How do credit card companies make money from people who don't carry balances?,Capital One,2012,,,,,,,,,,,,,,,,,,
Tell me about a time where you had to take a leadership role within a group?,Target,2012,,,,,,,,,,,,,,,,,,
Give an example of a database you created and what was its functionality.,Southern California Edison,2010,,,,,,,,,,,,,,,,,,
How many windows are in this building?,Enterprise,2014,,,,,,,,,,,,,,,,,,
How many websites are on the internet? How would you find out the number?,Google,2010,,,,,,,,,,,,,,,,,,
Why is a manhole cover round?,Lawrence Livermore National Laboratory,2013,,,,,,,,,,,,,,,,,,
Explain a difficult situation at work and how you handled it.,Cisco Systems,2012,,,,,,,,,,,,,,,,,,
A mobile phone company with coverage over three states wants to upgrade it's Customer Relationship Management system. How should it go about this?,Deloitte,2011,,,,,,,,,,,,,,,,,,
How many gas stations are in New York State.,XanGo,2009,,,,,,,,,,,,,,,,,,
Tell us about a time when you were given a task with little information.,Allstate,2012,,,,,,,,,,,,,,,,,,
Why should I hire you and not the other candidates?,Wipro,2013,,,,,,,,,,,,,,,,,,
How do you price a derivative?,Wall Street Systems,2009,,,,,,,,,,,,,,,,,,
This position involves being around people that are experts and well-respected in their fields. How are you around these type of people?,BMW Manufacturing,2009,,,,,,,,,,,,,,,,,,
How flexible are you in regards to traveling for weeks at time?,Northwest Administrators,2010,,,,,,,,,,,,,,,,,,
Jim is planning a wedding. He picks a random day for this wedding. What month is that day likely to fall in?,alligatortek,2016,,,,,,,,,,,,,,,,,,
What was the most difficult/challenging problem you had to deal with at your current job?,Morgan Stanley,2010,,,,,,,,,,,,,,,,,,
Describe a time you had a deal with a difficult person,Target,2011,,,,,,,,,,,,,,,,,,
What are the largest risks to our business?,Willis Towers Watson,2010,,,,,,,,,,,,,,,,,,
Describe to someone with a 6th grade education the definition of P/E?,Whole Foods Market,2012,,,,,,,,,,,,,,,,,,
Do you prefer to work independently or as part of a team?,PIMCO,2011,,,,,,,,,,,,,,,,,,
Describe a time where you had to convince someone to see your point of view and how you went about it.,Capital One,2011,,,,,,,,,,,,,,,,,,
What is the size of the contact lens market in the United States?,Capital One,2014,,,,,,,,,,,,,,,,,,
Show us how to perform an excel lookup using the MATCH and INDEX functions,Safeway,2010,,,,,,,,,,,,,,,,,,
Describe a situation in which you were faced with a difficult problem and how did you solve it.,McKinsey & Company,2014,,,,,,,,,,,,,,,,,,
Describe a time when you or a project you worked on failed.,Nordstrom,2011,,,,,,,,,,,,,,,,,,
What do you feel are your weaknesses?,CoBank,2014,,,,,,,,,,,,,,,,,,
How will Facebook affect Microsoft’s business?,Microsoft,2011,,,,,,,,,,,,,,,,,,
How does Google make money off Android?,Microsoft,2011,,,,,,,,,,,,,,,,,,
Whats the difference between a tactical solution and a strategic solution?,Allstate,2011,,,,,,,,,,,,,,,,,,
How do you handle stress in the workplace?,J.P. Morgan,2010,,,,,,,,,,,,,,,,,,
Why do you want to leave your current company?,Dominion Energy,2013,,,,,,,,,,,,,,,,,,
What is the market for tennis balls in your city?,Shopping.com,2011,,,,,,,,,,,,,,,,,,
Size the market for salsa in Canada.,The Cambridge Group,2015,,,,,,,,,,,,,,,,,,
Tell me about a time when you had to convince others or a group to adopt your point of view.,Target,2010,,,,,,,,,,,,,,,,,,
What would you do when faced with a request from a high-level executive that would cause the team an additional amount of manual work?,Sage Intacct,2013,,,,,,,,,,,,,,,,,,
